Solicitud de pedido;Descripción Material;Descripción Servicio;MES;Moneda;Texto Solicitud Pedido;Nombre área solicitante;Fecha Lib. Solped;Denominación GrpComp;Valor total Pedido
1000022944;CROP 2026;PROMOCION DIVULGACION;febrero;COP; ASESORÍA COMUNCIACIONES - CROP - BP 1000195595 - NIT 900448330-4 - AÑO 2026;GESTIÓN DE COMUNICACIONES Y PUBLICIDAD;12/05/2026;SERVICIOS PROFESIO;285.600.000,00
1000022945;MES 1;PROMOCION DIVULGACION;febrero;COP; ALIANZA ESTRATÉGICA CORPORACIÓN PUTUMAYO SOMOS TODOS NIT: 901489061-7;GESTIÓN DE COMUNICACIONES Y PUBLICIDAD;25/02/2026;SERVICIOS PROFESIO;12.000.000,00
1000022926;Pago de inscripción de los torneos inter;ACTIV CULTURALES CIVICAS Y DEPORTIVAS;febrero;COP; SOLICITUD DE CASOS  Actividad:  Participación Torneos Cerros  Descripción:   Pago de inscripción de los torneos interunivers;BIENESTAR UNIVERSITARIO;23/02/2026;EVENTOS ;17.500.000,00
1000022961;APOYO EVENTO;OTROS SERVICIOS;febrero;COP; servicio de apoyo logístico para el evento que se realizará el día 12 de febrero PROVEEDOR: ADVANTAGE PROTOCOLO;GERENCIA DE PROYECCIÓN Y CRECIMIENTO;18/02/2026;EVENTOS ;606.900,00
1000022938;FUMIGACI 4 SED INSUM SIN IVA FEB-JUN-OCT;SERVICIO MANTO. CONSTRUCCIONES Y EDIFICA;febrero;COP; SERVICIO DE CONTROL DE PLAGAS 2026: FUMIGACIÓN 4 SEDES: FUNDA-LEGACY-AV_CHILE-CALLE 74(3 Actividades Feb-Jun- Oct 2026) DESINF;GESTIÓN DE INFRAESTRUCTURA Y PLANTA FÍSICA;17/02/2026;SRV MTTO INFRAESTR;15.960.012,00
1000022948;SUMINISTRO VALLA IMPRESIÓN DIGITAL;IMPRESOS PUBLICACIONES;febrero;COP; PROYECTO CALLE 72 CONTRATISTA KATODE IMPRESIÓN DIGITAL  SOBRE BANER MATTE  BLAKOUT. TINTAS UV BOLSILLO PARA OJALETE Y GUAYA PA;GESTIÓN DE INFRAESTRUCTURA Y PLANTA FÍSICA;12/02/2026;LIBROS ELECTRONICO;261.134,00
1000022947;KIT CONTROL DE DERRAMESSUGERIDO 5;;febrero;COP; Kit de derrames SEGAMCOL SAS;SISTEMA DE GESTIÓN DE LA SEGURIDAD Y SALUD EN EL TRABAJO;13/02/2026;DOTACIÓN Y ELEM. D;2.044.420,00
1000022951;LED DRIVER PRG 350-1400MA 45W 120;;febrero;COP; SUMINISTRO DE DRIVERS Y SENSORES PARA ILUMINACION EDIFICIO LEGACY, PROVEEDOR:HIGTLIGH, VALOR: $1.959.216, CASO:74783;GESTIÓN DE INFRAESTRUCTURA Y PLANTA FÍSICA;17/02/2026;ELEM. FERRETERIA C;1.959.216,00
1000022899;REFRIGERIOS + EST.CAFÉ ALQUERÍA;ALIMENTOS (DESAYU-REFRIG-ALMUERZO);febrero;COP; COTIZACIÓN Diego Felipe Salcedo Rubio refreshment.bog refreshment20@gmail.com Refreshment (+57) 3004895998 Costo: $25.000 bebi;FORMACIÓN A LA MEDIDA;18/02/2026;ALIMENTACION Y REF;841.500,00
1000022913;Refrigerio personas Acció Catalana;ALIMENTOS (DESAYU-REFRIG-ALMUERZO);febrero;COP; Pago realizado por $75.280 con TC DE INTERNACIONALIZACIÓN, a COCINA SOLUCIONES INTEGRALES SAS / MAISON MISTRAL NOGAL, por refr;GERENCIA DE INTERNACIONALIZACIÓN Y RELACIONES INSTITUCIONALES;17/02/2026;ALIMENTACION Y REF;75.282,00
1000022929;Almuerzo ( Entrada, Plato fuerte y postr;ALIMENTOS (DESAYU-REFRIG-ALMUERZO);febrero;COP; SERVICIO DE ALIMENTOS Y BEBIDAS  GRABACION ON CET . PROVEEDOR GRUPO PROMO;GESTIÓN COMERCIAL EVENTOS EXTERNOS;13/02/2026;ALIMENTACION Y REF;448.380,00
1000022950;GALLETAS + EST.CAFÉ ALQUERÍA;ALIMENTOS (DESAYU-REFRIG-ALMUERZO);febrero;COP; COTIZACIÓN Diego Felipe Salcedo Rubio refreshment.bog refreshment20@gmail.com Refreshment (+57) 3004895998 Costo: $75.000 dos;FORMACIÓN A LA MEDIDA;27/02/2026;ALIMENTACION Y REF;75.000,00
1000022946;ESTOLAS GRADOS REGIONALES CAUCA;ALQUILER TOGAS Y BIRRETES;febrero;COP; 25 Alquiler Toga, Birrete + Beca Especialista.  Ceremonia de grados 27 de febrero | Popayán  PROVEEDOR PHILOSOPHIA.;REGIONES;13/02/2026;GRADOS Y EVENTOS ;2.555.525,00
1300002963;PASAJES AEREOS VALLEDUPAR;;febrero;COP; PROYECTO CALLE 72 TIQUETES AEREOS VIAJE A LA COMUNIDAD ARHUACO VALOR $ $5.014.236 +$835.706 VIAJE DEL 30 DE ENERO AL 01 DE FEBR;GESTIÓN DE INFRAESTRUCTURA Y PLANTA FÍSICA;16/02/2026;VIAJES;5.849.942,00
1300002977;Alojamiento Maira García en Barcelona;ALOJAMIENTO;febrero;COP; Pago por RESERVA DE ALOJAMIENTO para MAIRA ALEJANDRA GARCÍA JARAMILLO, in the Social Hub Barcelona Poblenou Hotel en Barcelona;GERENCIA DE INTERNACIONALIZACIÓN Y RELACIONES INSTITUCIONALES;17/02/2026;VIAJES;6.399.095,00
1300002987;REINTEGRO VIAJE GUNA DULE 3Y4 MARZO;;febrero;COP; PROYECTO CALLE 72-CONTRATISTA:IGAL KAMOKARA -ATEMIKA REINTEGRO DE GASTOS PARA VIAJE DE SOCIALIZACIÓN DEL PROYECTO HUMANISE, ES;GESTIÓN DE INFRAESTRUCTURA Y PLANTA FÍSICA;13/02/2026;VIAJES;31.392.100,00
1000022915;SERVICIOS EMPRESARIALES (INTRAMURAL);HONORARIOS SERVICIO MEDICO;febrero;COP; Examenes Médicos Ocupacionales Colsubcidio;SISTEMA DE GESTIÓN DE LA SEGURIDAD Y SALUD EN EL TRABAJO;16/02/2026;SERVICIOS PROFESIO;13.307.800,00
1000022916;Catalogación trabajos de grado Minerva;HONORARIOS ASESORIA TECNICA;febrero;COP;" Servicio de catalogación de trabajos de grado en Repositorio ""Biblioteca digital Minerva"" Cantidad de 300 registros bibliográ";BIBLIOTECA;16/02/2026;SERVICIOS PROFESIO;4.560.000,00
1000022927;Talleres de tejeduría en ganchillo ;ACTIV CULTURALES CIVICAS Y DEPORTIVAS;febrero;COP; SOLICITUD DE CASOS Actividad:  Taller de tejeduría en ganchillo Descripción:  Compra de materiales y desarrollo de dos taller;BIENESTAR UNIVERSITARIO;18/02/2026;SERVICIOS PROFESIO;1.720.000,00
1000022928;Mantenimiento de equipo de Gimnasio;MANTENIMIENTO MAQUINARIA Y EQUIPO;febrero;COP; SOLICITUD DE CASOS Actividad: Mantenimiento equipo gimnasio Descripción: Barras, cajones, mancuernas, rack de mancuernas Lugar;BIENESTAR UNIVERSITARIO;18/02/2026;SERVICIOS PROFESIO;3.570.000,00
1000022960;ADICIONAL APOYO LOGISTICO;SERVICIOS PARA EVENTOS;febrero;COP; ADICIONAL PERSONAL LOGISTICO Y BRIGADISTAS PARA CAMACOL. PROVEEDOR ADVANTAGE;GESTIÓN COMERCIAL EVENTOS EXTERNOS;13/02/2026;SERVICIOS PROFESIO;606.900,00
1000022971;LA BOUTIQUE DE LAS CARNES;GASTOS DE REPRESENTACION;febrero;COP; COMPRA - BOUTIQUE DE LAS CARNES LEGALIZACIÓN TC;GERENCIA DE PROYECCIÓN Y CRECIMIENTO;16/02/2026;SERVICIOS PROFESIO;420.103,00
1000022972;MISTRAL;GASTOS DE REPRESENTACION;febrero;COP; GASTOS DE REPRESENTACIÓN MISTRAL - COCINAS Y SOLUCIONES SAS CONCILIACIÓN TC;GERENCIA DE PROYECCIÓN Y CRECIMIENTO;17/02/2026;SERVICIOS PROFESIO;0
1000022973;MOK COLINA;GASTOS DE REPRESENTACION;febrero;COP; GASTOS DE REPRESENTACIÓN - LAO KAO SA - BP: 1000011464 CONCILIACIÓN TC;GERENCIA DE PROYECCIÓN Y CRECIMIENTO;17/02/2026;SERVICIOS PROFESIO;0
1000022918;BOLSA DE HORAS MICROSOFT 2026;ASISTENCIA TECNICA;febrero;COP; BOLSA DE SOPORTE ESPECIALIZADO DE MICROSOFT Supervisión: Jair Vanegas Proveedor: BTECHCOM Forma de pago: 50% del valor total c;INFRAESTRUCTURA Y TELECOMUNICACIONES;04/03/2026;SERVICIOS IT ;25.275.600,00
1000022917;SERV MTTO CORREC 4 VENTI AA SCHNEIDER;MANTENIMIENTO MAQUINARIA Y EQUIPO;febrero;COP; SERVICIO DE MANTENIMIENTO CORRECTIVO A 4 MOTORES DE UNIDADES CONDENSADORAS A EQUIPO DE PRECISION SCHNEIDER DEL DATA CENTER, PRO;GESTIÓN DE INFRAESTRUCTURA Y PLANTA FÍSICA;17/02/2026;SRV MTTO INFRAESTR;2.360.960,00
1000022952;MTTO PREV AIRES A ED LEGACY MAR-DIC 2026;MANTENIMIENTO MAQUINARIA Y EQUIPO;febrero;COP; MTTO PREVENTIVO Y CORRECTIVO A 218 EQUIPOS DE AIRE ACONDICIANDO, ESTRACCIÓN Y VENTILACIÓN DE EDIFICIO LEGACY 2026 COMITE DE C;GESTIÓN DE INFRAESTRUCTURA Y PLANTA FÍSICA;13/03/2026;SRV MTTO INFRAESTR;76.438.630,00
1000022954;INSTALACION DE HABLADORES DE PISO;AVISOS Y COMUNICADOS ;febrero;COP; SERVICIO SUMINISTRO E INSTALACION DE HABLADORES DE PISO PARA HALL PISO 2 EDIFICIO LEGACY, PROVEEDOR: KATODE, VALOR:$605.956, CA;GESTIÓN DE INFRAESTRUCTURA Y PLANTA FÍSICA;17/02/2026;SRV MTTO INFRAESTR;605.956,00
1000022955;MTTO CORRECTIVO NEVERA COCINA P10 LEGACY;MANTO EQ DE OFICINA;febrero;COP; SERVICIO DE MANTENIMIENTO CORRECTIVO PARA NEVERA DE COCINA PISO 10 LEGACY, PROVEEDOR: OSCAR RUIZ, VALOR: $180.000, CASO:74905;GESTIÓN DE INFRAESTRUCTURA Y PLANTA FÍSICA;16/02/2026;SRV MTTO INFRAESTR;180.000,00
1000022956;SUMIN E INST DIVISION PUERTA IMPACTA;SERVICIO MANTO. CONSTRUCCIONES Y EDIFICA;febrero;COP; SERVICIO SUMINISTRO E INSTALACION DE PUERTA DIVISION EN VIDRIO PARA BODEGA IMPACTA, PROVEEDOR: SECURITY WINDOWS, VALOR: $2.558.;GESTIÓN DE INFRAESTRUCTURA Y PLANTA FÍSICA;17/02/2026;SRV MTTO INFRAESTR;2.558.500,00
1000022981;1_ WORKSTATION TS P3_TOWER_GEN 2_WARRANT;;febrero;USD; Equipo de computo Lenovo  30HSS97E00 wrkstation TS P3_Tower_Gen 2_WARRANTY 4Y X 10 EQUIPOS VALOR UNIDAD $1.615 USD + IVA INCLUI;MEDIACIONES DIDÁCTICAS;10/04/2026;HARDWARE ;0
1000022965;Servicio transporte 16 - 20 feb;PASAJES TERRESTRES;febrero;COP; COTIZACION #GP-000158-46.1 RUTRANSCOL SERVICIO DE TRANSPORTE FRONTINO Y MUTATA;CONSULTORÍA ESPECIALIZADA;18/02/2026;TRANSPORTE ;5.200.000,00
1000022976;BUS - RAMO - 16 DE FEBRERO DE 2026;PASAJES TERRESTRES;febrero;COP; EMPRESA: EXPLORA COLOMBIA FECHA: 16 DE FEBRERO DE 2026 DESTINO: PLANTA RAMO MOSQUERA NÚMERO DE PERSONAS: 40;FACULTAD DE ADMINISTRACION;13/02/2026;TRANSPORTE ;900.000,00
1000022980;ELTS Games and Activities: Win with Word;;febrero;COP; Compra de libros impresos para Biblioteca relacionado en Acta 001 2026 Proveedor English Languaje Service Contacto Carolina Le;BIBLIOTECA;17/02/2026;LIBROS ;675.000,00
1000022963;refrigerios VAF;ALIMENTOS (DESAYU-REFRIG-ALMUERZO);febrero;COP;;VICERRECTORÍA ADMINISTRATIVA Y FINANCIERA;13/02/2026;ALIMENTACION Y REF;647.750,00
1000022975;ESTACION DE CAFE;ALIMENTOS (DESAYU-REFRIG-ALMUERZO);febrero;COP; SOLICITUD DE SERVICIOS ADICIONALES DE ALIMENTACIÓN EVENTO CAMACOL.PROVEEDOR GRUPO PROMO;GESTIÓN COMERCIAL EVENTOS EXTERNOS;20/02/2026;ALIMENTACION Y REF;1.224.120,00
1000022919;MEDICAL RECORD HISTORIAS CLINICAS 2026;;febrero;COP; RENOVACION MEDICAL RECORD – HISTORIAS CLINICAS Supervisor: Diego Rivera Proveedor: Logan Valor de la compra: COP $19.851.240;SISTEMAS DE INFORMACIÓN;18/02/2026;LICENCIAS Y SUBSCR;19.851.240,00
1000022990;RENOVACION LICENCIAS CDR 2026;LICENCIAS Y SOFTWARE;febrero;COP; LICENCIAS CDR (Centro Colombiano de Derechos Reprográficos) Supervisor: Nestor Cantor Proveedor: CDR Valor de la compra: COP $;SEGURIDAD INFORMÁTICA;25/02/2026;LICENCIAS Y SUBSCR;10.044.247,00
1300003004;Alojamiento Frontino y Mutata;ALOJAMIENTO;febrero;COP; Gastos de viaje German Hillon Vega Alojamiento Frontino y Mutata (Antioquia) 16 al 20 de febrero;CONSULTORÍA ESPECIALIZADA;13/02/2026;VIAJES;262.000,00
1300003005;Alojamiento Frontino y Mutata;ALOJAMIENTO;febrero;COP; Gastos de viaje Sandra Bulla Ortega Alojamiento Frontino y Mutata (Antioquia) 16 al 20 de febrero;CONSULTORÍA ESPECIALIZADA;13/02/2026;VIAJES;262.000,00
1300003006;Alojamiento Frontino y Mutata;ALOJAMIENTO;febrero;COP; Gastos de viaje Gustavo Vargas Urrego Alojamiento Frontino y Mutata (Antioquia) 16 al 20 de febrero;CONSULTORÍA ESPECIALIZADA;13/02/2026;VIAJES;262.000,00
1300003007;Alojamiento Frontino y Mutata;ALOJAMIENTO;febrero;COP; Gastos de viaje Danny Losada Alojamiento Frontino y Mutata (Antioquia) 16 al 20 de febrero;CONSULTORÍA ESPECIALIZADA;13/02/2026;VIAJES;262.000,00
1300003008;Alojamiento Frontino y Mutata;ALOJAMIENTO;febrero;COP; Gastos de viaje Silvio Lopez Alojamiento Mutata (Antioquia) 18 al 20 de febrero;CONSULTORÍA ESPECIALIZADA;13/02/2026;VIAJES;140.000,00
1000022949;SER. VIGILANCIA 2026 (ABRIL A DICIEMBRE);VIGILANCIA;febrero;COP; OTROSI No.2, CONTRATO DE SEGURIDAD Y VIGILANCIA SEDES EAN POR UN AÑO 2026-2027  Proveedor COLVISEG;GESTIÓN DE INFRAESTRUCTURA Y PLANTA FÍSICA;22/04/2026;SERVICIOS PROFESIO;2.022.530.659,00
1000022953;Preparación y presentación de la respues;HONORARIOS ASESORIA TECNICA;febrero;COP; Proveedor:  Clarke Modet NIT: 830008643-3 BP: 1000011428 PRESUPUESTO Preparación y presentación de respuesta al Oficio No. 21;UNIDAD DE INNOVACIÓN Y TRANSFERENCIA;16/02/2026;SERVICIOS PROFESIO;2.855.095,00
1000022964;MTTO. MALOKA EORI;SERVICIO MANTO. CONSTRUCCIONES Y EDIFICA;febrero;COP; OBRA CIVIL PARA EL MATENIMIENTO Y CAMBIO DE CUBIERTA MALOKA EAN ORINOQUIA  Proveedor:Richard Antelis Valor $14.500.000;GESTIÓN DE INFRAESTRUCTURA Y PLANTA FÍSICA;13/02/2026;SERVICIOS PROFESIO;14.500.000,00
1000022974;APOYO LOGISTICO;SERVICIOS PARA EVENTOS;febrero;COP; SOLICITUD DE SERVICIO DE PERSONAL LOGISTICO Y BRIGADISTAS PARA ONE CET. PROVEEDOR ADVANTAGE;GESTIÓN COMERCIAL EVENTOS EXTERNOS;18/02/2026;SERVICIOS PROFESIO;2.986.900,00
1000022983;INSCRIPCION ASOBANCARIA;INSCRIPCION EVENTOS NACIONAL - INTERNACI;febrero;COP; INSCRIPCION ASOBANCARIA;VICERRECTORÍA ADMINISTRATIVA Y FINANCIERA;25/02/2026;EVENTOS ;4.510.100,00
1000022977;SERV MTTO PREV SIST DETECCION INCEN C74;MANTENIMIENTO MAQUINARIA Y EQUIPO;febrero;COP; SERVICIO DE MANTENIMIENTO PREVENTIVO SISTEMA DE DETECCION INCENDIOS SEDE CALLE 74, PROVEEDOR: AMERICAM ALARM, VALOR: $5.231.835;GESTIÓN DE INFRAESTRUCTURA Y PLANTA FÍSICA;18/02/2026;SRV MTTO INFRAESTR;5.231.833,00
1000022982;SUMINISTRO E INSTALACIÓN MOTOR 100NW;MANTENIMIENTO MAQUINARIA Y EQUIPO;febrero;COP; Instalación motor 100NW carpa externa, punto de reciclaje. Proveedor: Carpas e ingenieria. Valor: $1,666,000;GESTIÓN DE INFRAESTRUCTURA Y PLANTA FÍSICA;17/02/2026;SRV MTTO INFRAESTR;1.666.000,00
1000022988;SERV MTTO PREV PANELES SOLARES FUN;SERVICIO MANTO. CONSTRUCCIONES Y EDIFICA;febrero;COP; SERVICIO DE MANTENIMIENTO PREVENTIVO PANELES SOLARES FUNDADORES, PROVEEDOR: AC INGENIEROS, VALOR: $4.069.800, CASO:74994;GESTIÓN DE INFRAESTRUCTURA Y PLANTA FÍSICA;17/02/2026;SRV MTTO INFRAESTR;4.069.800,00
1000023010;LIMPIEZA NIDOS PALOMA FACHADA P10;SERVICIO MANTO. CONSTRUCCIONES Y EDIFICA;febrero;COP; SERVICIO DE LIMPIEZA NIDOS DE PALOMA FACHADA PISO 10, PROVEEDOR: SECURITY WINDOWS, VALOR: $4.284.000, CASO: 74999;GESTIÓN DE INFRAESTRUCTURA Y PLANTA FÍSICA;19/02/2026;SRV MTTO INFRAESTR;4.284.000,00
1000023031;SERV MTTO PREV VIDEO PORTERO FUN;MANTENIMIENTO MAQUINARIA Y EQUIPO;febrero;COP; SERVICIO DE MANTENIMIENTO PREVENTIVO VIDEO PORTERO, PROVEEDOR: AMERICAN ALARM,VALOR: $1.442.280, CASO:75033;GESTIÓN DE INFRAESTRUCTURA Y PLANTA FÍSICA;18/02/2026;SRV MTTO INFRAESTR;1.442.280,00
1000022966;LAVADORA HACEBCS 18K;;febrero;COP; SUMINISTRO LAVADO PARA LAVADO DE DOTACIÓN SEDE EAN ORINOQUIA;GESTIÓN DE INFRAESTRUCTURA Y PLANTA FÍSICA;17/02/2026;ACTIVOS Y/O EQUIPO;2.065.000,00
1000022984;BECAS POR COLOMBIA TELECAFÉ;PROMOCION DIVULGACION;febrero;COP; Campaña Becas por Colombia- Telecafe;PUBLICIDAD;24/02/2026;INSTITUCIONALES ;4.539.850,00
1000022985;BECAS POR COLOMBIA TELEANTIOQUIA;PROMOCION DIVULGACION;febrero;COP;  Nota patrocinada de 1 minuto en Noticiero 7 pm Teleantioquia Campaña: Becas por Colombia;PUBLICIDAD;25/02/2026;INSTITUCIONALES ;6.131.237,00
1000022987;BECAS POR COLOMBIA TELEISLAS;PROMOCION DIVULGACION;febrero;COP; PRODUCCIÓN Y EMISIÓN DE PUBLIRREPORTAJES- TELEISLAS BECAS POR COLOMBIA;PUBLICIDAD;17/02/2026;INSTITUCIONALES ;0
1000022989;BECAS POR COLOMBIA TELECARIBE;PROMOCION DIVULGACION;febrero;COP;" BECAS POR COLOMBIA- TELECARIBE Nota patrocinada de 1 minuto 30 segundos en ""NUESTRAS MAÑANAS"" 8:30am";PUBLICIDAD;26/02/2026;INSTITUCIONALES ;4.430.370,00
1000023011;BECAS POR COLOMBIA CANAL TRO;PROMOCION DIVULGACION;febrero;COP; Cubrimiento especial – NOTA COMERCIAL Pregrabada 2 minutos ORIENTE NOTICAS 6 AM;PUBLICIDAD;27/02/2026;INSTITUCIONALES ;2.225.300,00
1000023030;PLAN VALLAS ATL;PROMOCION DIVULGACION;febrero;COP; 15 TÓTEMS DISTRIBUIDOS EN EL CENTRO COMERCIAL 1080 X 1920 PX CIRCUITO 10 TÓTEMS DISTRIBUIDOS + COLUMNA (MEDIO CUPO) 1080 X 19;PUBLICIDAD;23/06/2026;INSTITUCIONALES ;118.582.310,00
1000022957;Applied Knowledge -Management Accounti;;febrero;EUR; Compra BPP INV-90748 £3,401.19 TRM libras 4930,31-  TRM Euro 4298,28 (5 de febrero 2026);UNIDAD ACADÉMICA ADMINISTRATIVA;20/02/2026;LIBROS ;3.900,51
1000022958;Applied Skills -Financial Management;;febrero;EUR; Compra BPP INV-90747 £3,788.28 TRM libras 4.930,31 -  TRM Euro 4298,28  (05 de febrero 2026);UNIDAD ACADÉMICA ADMINISTRATIVA;20/02/2026;LIBROS ;4.345,14
1000022959;AppliedKnowledge - Business &Technolgy;;febrero;EUR; Compra BPP INV-90307 £3,160.00 TRM libras 5.025,94-  TRM Euro 4.363,46  (06 de febrero 2026);UNIDAD ACADÉMICA ADMINISTRATIVA;20/02/2026;LIBROS ;3.640,32
1000022967;AppliedKnowledge -Management Account;;febrero;EUR; Compra BPPINV-90447  £80.00 TRM libras 5020,65 -  TRM Euro 4372,12  (09 de febrero 2026);UNIDAD ACADÉMICA ADMINISTRATIVA;20/02/2026;LIBROS ;91,84
1000022968;Course Book -External - ACCA -Applieknow;;febrero;EUR; Compra BPP INV-90574  £160.65 TRM libras 4.989,09 -  TRM Euro 4.340,23  (11 de febrero 2026);UNIDAD ACADÉMICA ADMINISTRATIVA;20/02/2026;LIBROS ;184,64
1000022969;AppliedKnowledge - Business &Technolgy;;febrero;EUR; Compra BPP INV-90653  £150.00 TRM libras 4990,22-  TRM Euro 4343,76  (13 de febrero 2026);UNIDAD ACADÉMICA ADMINISTRATIVA;20/02/2026;LIBROS ;172,35
1000022986;RECURSOS BIBLIOGRAFICOS;;febrero;COP; Compra de libros impresos en linea para Biblioteca de la plataforma Amazon Se requiere una Orden de Compra abierta para realiza;BIBLIOTECA;18/02/2026;LIBROS ;2.856.850,00
1000023020;Applied Knowledge -Management Accounti;;febrero;EUR; Compra BPP INV-90746  £302.94 TRM libras 4.979,8-  TRM Euro 4.330,31  (16 de febrero 2026);UNIDAD ACADÉMICA ADMINISTRATIVA;20/02/2026;LIBROS ;348,33
1000022922;Crispetas 9 entregas x30 un;ALIMENTOS (DESAYU-REFRIG-ALMUERZO);febrero;COP; SOLICITUD DE CASOS  Actividad:  Crispetas B. U. Films  Descripción:   Compra de 270 paquetes de crispetas de maiz para ofrecer;BIENESTAR UNIVERSITARIO;16/02/2026;ALIMENTACION Y REF;1.020.600,00
1000022992;40 MINI BROCHETAS;COCTEL - ESTACION (CAFE, AROMATICA, AGUA;febrero;COP;;POSGRADO;18/02/2026;ALIMENTACION Y REF;2.951.200,00
1000022978;KIT Total Starch Assay Kit (AA/AMG).;INGRESOS TERCEROS;febrero;COP; Creación caso: 75021 Compra proyecto externo PAPAPACK. •KIT Total Starch Assay Kit (AA/AMG). Proveedor: QUIMICA MG S.A.S. BP;DIRECCIÓN DE INVESTIGACIONES;17/02/2026;ELEM. LABORATORIO ;3.865.120,00
1000022979;Instalación linéa de gases Proyecto Bioe;INGRESOS TERCEROS;febrero;COP; Creación caso: 75031 Compra proyecto externo AGROSAVIA. • PROPUESTA Elementos de conexión para biogás de Biodigestor. Prov;DIRECCIÓN DE INVESTIGACIONES;17/02/2026;ELEM. LABORATORIO ;9.600.000,00
1000022991;RENOVACION LICENCIA SKETCHUP 2026;LICENCIAS Y SOFTWARE;febrero;USD; LICENCIA SKETCHUP – PLANTA FISICA Supervisor: Henry Diaz Proveedor: Sketchup Valor de la compra: USD 399 Exento de IVA Vigenc;EXPERIENCIA DE USUARIO;23/02/2026;LICENCIAS Y SUBSCR;399
1000023001;Participación por dos (2) días en el For;INSCRIPCION EVENTOS NACIONAL - INTERNACI;febrero;COP; Asociación de Editoriales Universitarias de Colombia ASEUC BP:1000012320 Servicio: compra de entradas para el Ingreso al Foro;PUBLICACIONES CIENTIFICAS Y DOCENTES;17/02/2026;LICENCIAS Y SUBSCR;169.999,00
1000023012;ALOJAMIENTO INVITADO CAMILO HERRERA;ALOJAMIENTO;febrero;COP; SEGUN FACTURA FECZ73085 ALOJAMIENTO INVITADO CAMILO HERRERA;GERENCIA GENERAL;25/02/2026;VIAJES;724.414,00
1000023013;TIQUETES INVITADO CAMILO HERRERA;PASAJES AEREOS;febrero;COP; SEGUN FACTURA FECZ72992 TIQUETES INVITADO CAMILO HERRERA;GERENCIA GENERAL;25/02/2026;VIAJES;673.880,00
1300002918;2 ALM y 2 CENAS - BRAYAN ARIAS;MANUTENCION;febrero;COP; BRAYAN ALEXIS ARIAS MARTINEZ CC. 80031153  17 de Febrero al 18 de Febrero IDA REGRESO TOTAL Transporte aeropuerto Bogotá – C;CONSULTORIA PRIVADA;17/02/2026;VIAJES;740.000,00
1300002919;2 ALM Y 2 CENAS - JESSICA PEÑA;MANUTENCION;febrero;COP; JESSICA RUTH PEÑA TORRES CC. 63555368  17 de Febrero al 18 de Febrero IDA REGRESO TOTAL Transporte aeropuerto Bogotá – Casa;CONSULTORIA PRIVADA;17/02/2026;VIAJES;740.000,00
1300002978;alojamiento evento asobancaria 2026;ALOJAMIENTO;febrero;COP; alojamiento evento asobancaria 2026  pago TC;VICERRECTORÍA ADMINISTRATIVA Y FINANCIERA;25/02/2026;VIAJES;2.959.551,00
1300002979;Tiquetes envento asobancaria 2026;PASAJES AEREOS;febrero;COP; Tiquetes envento asobancaria 2026;VICERRECTORÍA ADMINISTRATIVA Y FINANCIERA;25/02/2026;VIAJES;628.141,00
1300002988;HOSPEDAJE 25 AL 26 FEBRERO MARIA DEL PIL;ALOJAMIENTO;febrero;COP; HOTEL EL RECUERDO - RESERVA VIAJES COMERCIALES IBAGUÉ  Reserva 1: 23 AL 26 FEBRERO: 3 NOCHES X 1 PERSONA      Maria del Pilar;NUEVOS MERCADOS;13/03/2026;VIAJES;188.000,00
1300002989;RESERVA HSPEDAJE DEL 26 AL 27 FEBRERO;ALOJAMIENTO;febrero;COP; HOTEL EL RECUERDO - VIAJE GRADOS - 26 AL 27 FEBRERO - 4 PERSONAS:  Habitación individual:      Edgar Arturo Gonzalez Mongui;REGIONES;13/03/2026;VIAJES;606.000,00
1300003010;1 ALM Y 2 CENAS - DIANA GUTIERREZ;MANUTENCION;febrero;COP; DIANA CAROLINA GUTIERREZ ACOSTA CC. 52907082  17 de Febrero al 18 de Febrero IDA REGRESO TOTAL Transporte aeropuerto Bogotá;CONSULTORIA PRIVADA;17/02/2026;VIAJES;690.000,00
1300003011;2 ALM Y 1 CENA - JHON RENGIFO;MANUTENCION;febrero;COP; JOHN JAIRO RENGIFO VARGAS CC. 80230692  17 de Febrero al 18 de Febrero IDA REGRESO TOTAL Transporte aeropuerto Bogotá – Casa;CONSULTORIA PRIVADA;17/02/2026;VIAJES;690.000,00
1300003012;Tiquetes Comfandi Cali -AAGHRFW;PASAJES AEREOS;febrero;COP; AAGHRFW TQUETES IDA Y VUELTA BOGOTÁ - CALI (Comfandi) DIANA CAROLINA GUTIERREZ ACOSTA CC. 52907082 JOHN JAIRO RENGIFO VARGAS C;CONSULTORIA PRIVADA;26/03/2026;VIAJES;1.359.422,00
1300003013;Tiquetes Comfandi Cali - AAGHRHB;PASAJES AEREOS;febrero;COP; AAGHRHB - TIQUETES IDA Y VUELTA BOGOTÁ - CALI (Comfandi) BRAYAN ALEXIS ARIAS MARTINEZ CC. 80031153;CONSULTORIA PRIVADA;26/03/2026;VIAJES;516.086,00
1300003014;Tiquetes Comfandi Cali - AAGHRAL;PASAJES AEREOS;febrero;COP; AAGHRAL - TIQUETES IDA Y VUELTA BOGOTÁ - CALI (Comfandi) JESSICA RUTH PEÑA TORRES CC. 63555368;CONSULTORIA PRIVADA;26/03/2026;VIAJES;684.471,00
